i,lambda0,lambda1,mu0,mu1,q01,q10,p
92,92,0.214834294229468,0.43245395550471,0.0120436666816588,0.0201202160054498,0.00194484094537136,0.197942272022858,-166.551867976584
93,93,0.308122156745321,0.71788827627334,0.0720587069210152,0.389069280590054,0.0160646336624299,0.221945472344748,-169.138847450392
94,94,0.211445679496344,0.840102485659073,0.041225764514878,0.396306730186829,0.00140456299639671,0.208307794951943,-168.248789657425
95,95,0.29514232578247,0.730086615458125,0.0840620781332434,0.178232611728714,0.0462259651590063,0.301708466784419,-169.351949471161
96,96,0.269965725416956,0.639072635436202,0.0216522730199588,0.0569551929583175,0.0372692200181497,0.235379461671105,-167.575063135164
97,97,0.206538621290663,0.618017944674797,0.086443006536232,0.00391923224715772,0.00348564236527904,0.257181571503005,-166.999438053776
98,98,0.314455147255753,0.593723442494211,0.0658344590779842,0.00986145050834129,0.00403161984786058,0.218894819679305,-166.607864237213
99,99,0.221459067480122,0.565884609681884,0.0349972487152456,0.19961838494917,0.0041983080102877,0.228674695194096,-167.047880848797
100,100,0.242080585246,0.683839724100763,0.0257954216918403,0.310084721230815,0.000292104512446203,0.202535314718565,-167.051395485136
101,101,0.245810957616145,0.69561221091673,0.0591065103770275,0.158290080743417,0.00303814915988295,0.189490583455707,-167.223241899624
102,102,0.220458527731115,0.744969517158677,0.0962274008285476,0.162277515267838,0.00277695747868038,0.268427300194324,-167.957184304981
103,103,0.274650071956519,0.743875595244591,0.0260775443954116,0.220160301160086,0.00259153203075567,0.250010155136969,-167.322925716571
104,104,0.197246048284557,0.641328417748374,0.0328675686563201,0.00357676784750181,0.00986195470383387,0.198738368253624,-167.658417749839
105,105,0.314741720298175,0.419837120099116,0.118512032278954,0.0727736714659042,0.0138045226786967,0.335557228910865,-170.205368301289
106,106,0.292752151784021,0.689657712433773,0.0250609000505663,0.0513741318387227,0.0129962953091341,0.372755484292927,-169.01861356217
107,107,0.277231461999086,0.707111158811159,0.123015516832958,0.0627703815514346,0.0382376882534691,0.429774023311106,-170.313218660661
108,108,0.346243215692444,0.63278148151602,0.223147180140051,0.000844479890688371,0.0022687187174231,0.238848765098116,-168.62706482912
109,109,0.342039030609847,0.636276301406684,0.204395602015873,0.0643110255784339,0.0129054336419242,0.451555764232625,-170.239205226897
110,110,0.2217820873056,0.691093141979139,0.0460761399361148,0.042981919839232,0.0514717663430698,0.206454412412626,-170.302972056829
111,111,0.31173034651921,0.385973257305887,0.00333193369037973,0.0108922135146994,0.0352715577470876,0.136248785208353,-169.604206315017
112,112,0.254990024575536,0.463250775319992,0.00391219126095512,0.0273206809170057,0.0115512032733073,0.237028916662161,-166.049423848514
113,113,0.233468861039559,0.590904058866924,0.0141064088473943,0.0105897484432248,0.0420278641291768,0.333013407263866,-167.32876301635
114,114,0.261113312052425,0.600927257398395,0.0250010392235596,0.204724240821436,0.0272933261811938,0.223339551088956,-167.531085150275
115,115,0.20963235542418,0.634143212315041,0.0249371407453452,0.118735555786459,0.0332776555694736,0.278878696713995,-167.483594255808
116,116,0.255619942220096,0.64223438026847,0.217467260724253,0.018288975670535,0.0409468371091174,0.339981102887319,-170.337037768212
117,117,0.250274665070138,0.560054669739174,0.132646887314957,0.0106731067796237,0.0632394922035299,0.446756498889195,-170.137408875668
118,118,0.237633467979846,0.695587586163774,0.0225946974993417,0.093846044013457,0.0516873361626631,0.176010685939695,-169.983582630837
119,119,0.260908947981244,0.483240469405847,0.0889619684245462,0.0332808232766756,0.0603242710944479,0.159994716156172,-171.707932435627
120,120,0.328289110569736,0.560526115985281,0.0741129929064398,0.0403504418467911,0.0510890406573533,0.201824575466115,-169.204783829661
121,121,0.275270563923254,0.519645993256013,0.0279021743950635,0.00396090717920611,0.0159732966155966,0.264325855814329,-165.974736769924
122,122,0.310643485188562,0.488714596991581,0.0235959261039648,0.00851882103637057,0.0136337154103424,0.298958562211078,-166.928427462141
123,123,0.170488517951729,0.668580123830885,0.135640588043796,0.0742740386030462,0.000365809815008316,0.285254086887281,-169.314223692173
124,124,0.339177525910488,0.555572243974583,0.145190047041392,0.108588889136621,0.0190190919257772,0.291404406844327,-168.363244058626
125,125,0.236147099526511,0.649003149850274,0.0704228682881008,0.0797317733800099,0.0195413123966993,0.250205304499967,-167.297332673917
126,126,0.284555222239469,0.634073002473631,0.0332652057124236,0.00485068237554102,0.00485497276079646,0.226364687920185,-166.372007846256
127,127,0.224936327568368,0.521783575332976,0.0837711861620549,0.0381236180391223,0.00305725600291736,0.187371489097402,-167.54234761669
128,128,0.280628650076534,0.476635277377093,0.186161003091216,0.0843062332928258,0.0126888608673921,0.303117792440396,-169.346428187346
129,129,0.251610192270229,0.474680636735626,0.0209818861467103,0.0391601589158503,0.033835519140414,0.287717438763128,-167.211113632123
130,130,0.244348975301055,0.514970491128833,0.0303701258863642,0.0220875590389473,0.0176281378170552,0.214778783943185,-166.369668708789
131,131,0.232946877545619,0.569028380044818,0.00034476361157826,0.0817288293823018,0.022859489735289,0.257464908804359,-166.240779115424
132,132,0.350463294858563,0.578727770213393,0.238746085005441,0.00143778578082334,0.034487472674756,0.413509620054974,-169.75119943311
133,133,0.275489706769685,0.44433483573998,0.0411258740324332,0.000685781893799545,0.00756210850174281,0.374762351145721,-168.008049862015
134,134,0.341189410761787,0.616802080590367,0.175209177361484,0.0286877628071961,0.0153539863573075,0.562626384508173,-173.130009417408
135,135,0.151117079269939,0.613600590866135,0.0935598169094968,0.0410751756790209,0.111600239720711,0.552109585497867,-174.155181215294
136,136,0.240320056308873,0.642623796487491,0.0453588664530667,0.00486794609046238,0.0732035463804746,0.440864688841798,-170.183840533648
137,137,0.281075971188035,0.481959321817153,0.0765079798063444,0.0675757993374177,0.0574770315804748,0.11038760774729,-171.87579558717
138,138,0.373755587762749,0.483239116172339,0.0938901147495422,0.143830969194472,0.0218949055590486,0.200219213309498,-170.439967421076
139,139,0.267441458400326,0.46057559570219,0.0611657890491016,0.144160346128988,0.0228404071685227,0.103577800051803,-172.39510294927
140,140,0.321137405026988,0.731938601759926,0.0698892189352963,0.107835144154248,0.0344812077842598,0.100554397704672,-171.313954039543
141,141,0.342771161863382,0.801164881117028,0.0710814378282537,0.372326136763038,0.0382616244017093,0.443412147841786,-175.382818835693
142,142,0.301286723507474,0.72383753473421,0.267154486262319,0.114110181937196,0.0381662899319988,0.442352227155464,-171.521707773262
143,143,0.288166182789483,0.64826321843369,0.309195793476598,0.06566985385399,0.00532944676792694,0.454236451817624,-170.481970158855
144,144,0.238836860717508,0.584668365038592,0.305297865464518,0.109630744782253,0.0209469218925589,0.237748087402529,-173.921940504574
145,145,0.557393989138353,0.659952611516496,0.403704861212581,0.179964626607107,0.0257509850789925,0.390571362694881,-174.195865869847
146,146,0.228160291968944,0.762397277645847,0.159680388019087,0.0144431635580543,0.0017525183120678,0.352843457518878,-169.733180624692
147,147,0.288521038046411,0.703028739143338,0.167567168912664,0.163870269492993,0.0306443498159923,0.340002965580439,-169.40971487622
148,148,0.335854662635877,0.691350843737166,0.119366881620655,0.259835930654726,0.0354412942828802,0.282190344813397,-169.597976723445
149,149,0.334324495459701,0.622504095546991,0.143292640564969,0.0845787090098443,0.0222992885829605,0.263714834424165,-168.213987621409
150,150,0.349559186861805,0.602169654156659,0.145759998933244,0.156903764783564,0.0170546193563118,0.151200092020201,-170.595607149847
151,151,0.274443869283418,0.606316673774225,0.0162340767224589,0.0491992011082593,0.0136953214667946,0.374564089001464,-168.033074081081
152,152,0.282399597223098,0.503608934516331,0.0012846783788323,0.0242819094144542,0.0272780736737541,0.242630140284793,-166.62337063327
153,153,0.278264549176009,0.588415460243604,0.00539351055424054,0.0411812672640476,0.0333582508454002,0.272482359106165,-166.94777056972
154,154,0.200177451913045,0.511274350793972,0.00485828162098614,0.00652074247563919,0.053161698337618,0.29026505463063,-167.516829035167
155,155,0.226733161601008,0.508818548935,0.00805783503220107,0.0474226771782406,0.0382567072896471,0.265821064628501,-166.943412900197
156,156,0.220908485113928,0.73952621068392,0.000385761497677209,0.172904942243167,0.103351603046322,0.258606829547377,-170.886081206252
157,157,0.356329669765975,0.408311034163595,0.0830259916375791,0.0234241438991522,0.109553444827587,0.375173541819503,-172.687016610411
158,158,0.421588594176636,0.528984696569389,0.160603078509048,0.0600447913428831,0.103253722232953,0.279365402693127,-173.090071314257
159,159,0.426074791251083,0.410533482345559,0.198265289723783,0.129534662473521,0.0914302507505695,0.236949860821693,-175.232384597106
160,160,0.326319380767703,0.477735553075887,0.119039078442202,0.0560106856196444,0.181074808777683,0.506805692774749,-174.409854621385
161,161,0.263911246300253,0.548603606235484,0.231135256206951,0.0585198369710875,0.0379289965103271,0.288537545232521,-170.66760851439
162,162,0.353674061950474,0.585818391764958,0.0888407853034586,0.0951092761656839,0.0173037785814282,0.196431434475014,-168.570045839392
163,163,0.231280214539998,0.643584176449868,0.0628559026391588,0.327790446715953,0.0540757437636056,0.271842023952622,-170.189295344661
164,164,0.235333075639563,0.826319557308507,0.0770043900925573,0.352504573082997,0.0161806049637015,0.21679331852248,-168.86672895356
165,165,0.350587882788,0.694747562928712,0.110799282058619,0.435501519904263,0.00754645080665971,0.185808767914603,-170.527838486611
166,166,0.310087662443009,0.795262394177101,0.139185538865674,0.300981196506793,0.00568770314727818,0.345988328411407,-170.197122605734
167,167,0.256629471600237,0.702271688392492,0.0159074586860343,0.369349263899424,0.120662302370129,0.231859635513878,-171.579510435389
168,168,0.264816416271007,0.82996408103739,0.0735596350756196,0.556248917937511,0.0329269611687276,0.211146106657325,-170.462150843664
169,169,0.318912199724417,1.09198294932983,0.156657613876064,0.768876271812298,0.0406661504430311,0.244421332770884,-173.341118078451
170,170,0.244760167716678,1.16357397372179,0.0900891334592973,0.579197668997873,0.0410159249483885,0.166284136885591,-174.388927697628
171,171,0.278425866049079,0.98937081608202,0.0795774730867457,0.563982014958166,0.0195494221491785,0.177964111605042,-170.513291122199
172,172,0.248257584550379,0.832069302628331,0.00477508533276666,0.262620273222437,0.0274374301403642,0.234326647404672,-168.737535280885
173,173,0.245627496338127,0.610776681697841,0.0088878358189127,0.132616101470537,0.0307754627059106,0.229123375157214,-166.962024341941
174,174,0.20318908922252,0.496089778809129,0.0747642445490823,0.190393424977644,0.0260734693107359,0.230753567537013,-170.210658546509
175,175,0.342117063309309,0.724446922301835,0.146576450383978,0.0574670699684342,0.00443986550384878,0.335371962860827,-168.793950191196
176,176,0.288467939636668,0.562926703163508,0.108121484291141,0.0691934331398762,0.0266006880490251,0.306724924444158,-167.648751038465
177,177,0.233061123922844,0.565742667379118,0.199796835000514,0.172018903333663,0.0315283077994319,0.352886961717819,-171.159095293459
178,178,0.423164392030632,0.620867623436316,0.263150846592612,0.206975602635827,0.0124069952880287,0.377222346841368,-171.734426385807
179,179,0.346024753203435,0.639434195908578,0.201963551903333,0.00734852088995878,0.0153731207930949,0.284527485041473,-168.57885807922
180,180,0.352621612675962,0.612743671127297,0.300466844202505,0.210421139665594,0.0411486657987959,0.244954372724921,-172.629612678618
181,181,0.415935066756554,0.581450398108315,0.163030538935424,0.25671988890613,0.0326428855700131,0.246972981113967,-171.671658710221
182,182,0.402292201487087,0.510083654447194,0.300865938940619,0.121405572925905,0.007140109584904,0.321555614304041,-170.868846577977
183,183,0.43801818791166,0.835717951952348,0.120968124989969,0.251602312097335,0.00485755367488975,0.23778651929113,-172.180501149384
184,184,0.293614010680779,0.543226719485322,0.04140251214673,0.11067715536736,0.00704875155327275,0.254484907551527,-166.717838723956
185,185,0.191036664615455,0.554966294903701,0.00624782840598989,0.122671859870393,0.0363350943568835,0.235850341693049,-167.700548854761
186,186,0.218972509103923,0.577593846719506,0.100372126764925,0.17376569367353,0.0105648930178763,0.283225733812925,-168.1680599855
187,187,0.337056502529048,0.581880447078734,0.157892299655063,0.03515649777679,0.0254433237834299,0.240157204712142,-168.595603930951
188,188,0.257207841790526,0.531067351300825,0.0270663874081868,0.082607921676765,0.0168387486861081,0.214340572939448,-166.571513349564
189,189,0.18232201583908,0.604490027608686,0.0318429358599648,0.248463617670615,0.0170932267498554,0.267291285221213,-168.688620696765
190,190,0.247697602197343,0.830489571120491,0.00698734025115912,0.298341919797661,0.0744882226664267,0.250475021931555,-170.311453896182
191,191,0.250155354186474,0.670776577375409,0.0534427316278028,0.0805500545383401,0.0814162459504274,0.33555031213263,-169.836067296602
192,192,0.292731930589737,0.637155514535873,0.158988281854545,0.118698115333868,0.0669014545489568,0.423405436644427,-170.943601238894
193,193,0.248463883603794,0.597785032438383,0.0385744843455883,0.0933422535316222,0.0475151252940799,0.247268916117983,-167.839331362667
194,194,0.227845697831756,0.531356281090711,0.0364271499139221,0.0711663669710011,0.0456214597433467,0.468728255234446,-170.961976991348
195,195,0.192926194662379,0.681804469135593,0.120594921988152,0.0929574804602442,0.0423393254870972,0.425517799794126,-170.863667639818
196,196,0.195861513938081,0.746038931105019,0.210405866775208,0.105330255703108,0.0103760811478004,0.502898421038794,-172.649383535943
197,197,0.321983526077218,0.828981815292037,0.467107720714095,0.1797996160684,0.0115578726568858,0.448678720996003,-173.795076575336
198,198,0.276800420207447,0.82441678547473,0.470271222522261,0.295555562176414,0.0237589416682475,0.454375818047024,-175.01148254644
199,199,0.296827084016679,0.848573601752976,0.350331443900762,0.373962333620654,0.0346376090771185,0.396441401506876,-173.72541071179
200,200,0.408490692399623,0.820184198808378,0.284348960189117,0.126077210121167,0.0241057208442201,0.405028040110824,-172.576158804938
