species,barcode,collector_number,plant_height_m,leaf_length_cm,leaf_width_cm,leaf_sla,inflorescence_length_cm,inflorescence_width_cm,fruit_weight_mg,fruit_height_mm,fruit_length_mm,fruit_width_mm,seed_number,seed_weight_mg,seed_height_mm,seed_length_mm,seed_width_mm
hypoleuca,ny03272194,Stephen_44967,17.5,25.5,11.5,13.5,13.0,13.0,3.0,2.2,2.21,2.31,71,0.04,0.64,0.51,0.49
hypoleuca,ny01184230,Pessoa_1085,7,19.0,8.0,12.0,15.5,12.5,5.0,2.7,1.57,2.97,69,0.07,0.61,0.44,0.52
kollmannii,ny1738493,Goldenberg_1526,3,7.4,3.0,6.7,11.5,8.0,5.0,2.4,2.23,2.45,2,2.50,1.59,1.24,1.34
lepidota,mbml00038138,Baumgratz_1288,10,8.0,5.0,9.8,16.0,4.5,18.0,3.5,3.92,4.04,38,0.47,1.29,0.78,1.06
lepidota,mbml00038134,Rossini_343,11,11.0,5.0,7.5,8.0,4.4,19.0,3.1,3.7,3.83,25,0.76,1.48,0.88,1.25
lepidota,mbml00038108,Kollmann_262,14,11.0,6.0,7.6,12.0,3.5,15.0,3.1,3.42,3.52,14,1.07,1.60,1.22,1.77
lepidota,ny00987684,Prance_3648,8,20.0,8.7,6.0,14.0,8.4,46.0,4.7,4.99,5.29,11,4.18,3.31,1.96,2.24
lepidota,ny1653273,Claire_569,7,20.5,12.5,6.8,22.0,14.5,9.0,2.8,3.15,3.21,23,0.39,1.44,0.91,1.20
longispicata,ny00987712,Anderson_12153,6,24.0,12.5,24.0,26.0,1.0,9.0,3.0,2.86,3,18,0.50,1.28,0.92,1.04
longispicata,ny00987716,Cid_1429,6,19.0,10.8,20.0,22.5,1.0,10.0,3.6,2.54,3.18,19,0.53,1.38,0.91,1.17
lourteigiana,ny01796300,Williams_760,1.8,22.0,9.1,16.0,8.0,6.5,5.0,2.6,2.97,3.18,52,0.10,0.72,0.51,0.62
lourteigiana,ny00755182,Ehringhaus_626,8,11.5,4.5,12.5,8.5,8.0,7.0,2.2,2.62,2.67,33,0.21,0.79,0.79,0.77
lourteigiana,ny1653014,Rimachi_4066,3,13.5,5.1,11.7,9.0,9.5,12.0,3.2,3.15,3.56,12,1.00,1.19,0.86,1.15
lourteigiana,ny01796301,Kahn_2244,3,15.5,8.5,12.1,10.0,10.5,11.0,3.0,3.36,3.5,31,0.36,1.06,1.05,0.97
lymanii,flor0016374,Falkenberg_3570,2,7.3,3.5,5.9,6.5,4.3,4.0,3.0,2.66,2.73,9,0.44,1.09,0.77,0.82
lymanii,flor0025775,Roderjan_981,5,7.2,4.1,6.4,6.5,3.9,25.0,4.6,2.66,4.46,4,6.25,2.26,1.35,1.78
lymanii,flor0067550,Silva_5,4,6.1,3.8,6.2,8.1,3.9,14.0,3.5,3.47,3.79,5,2.80,1.92,0.85,1.20
macrothyrsa,flor0052009,Souza_1433,0.5,14.2,7.1,10.4,13.8,1.6,17.0,5.0,3.94,4.05,28,0.61,1.02,0.63,0.68
macrothyrsa,upcb0016278,Caddah_332,na,9.6,6.5,10.5,19.2,5.3,32.0,4.9,3.09,4.43,21,1.52,1.16,0.76,1.09
macrothyrsa,upcb0016350,Magalhaes_15,2,8.5,5.6,9.4,15.1,4.2,24.0,4.1,3.62,3.92,26,0.92,0.77,0.87,0.82
macrothyrsa,upcb0016268,Goldenberg_522,0.5,10.6,6.9,7.6,11.7,4.9,38.0,4.6,4.6,4.79,26,1.46,0.84,0.75,0.81
macuxi,ny01404817,Huber_4998_a,1.5,8.5,3.0,5.9,8.0,3.2,35.0,3.9,5,5.51,42,0.83,1.04,0.82,1.12
mayarae,ny01796346,Rosa_1777,4,12.5,4.5,12.5,7.5,3.5,20.0,2.5,3.92,3.71,40,0.50,1.45,1.1,1.22
mayarae,ny03241528,Cowan_38973,2,11.7,5.5,4.5,9.5,6.0,23.0,3.9,4.08,4.4,25,0.92,1.42,1.04,1.33
mayarae,ny03241554,Stergios_11181,6,14.0,5.3,6.3,5.5,2.0,16.0,3.6,3.64,3.69,24,0.67,1.17,0.87,0.83
mayarae,ny01796349,Reden_1922,5,15.0,7.5,11.3,13.5,4.5,12.0,3.4,2.98,3.57,18,0.67,1.38,1.08,0.94
mayarae,ny00987152,Vieira_748,4,12.5,4.3,11.0,7.5,3.5,13.0,3.0,3.66,3.79,42,0.31,1.05,0.98,0.94
multispicata,mg41065,Prance_9730,15,13.0,6.0,9.0,12.0,3.5,55.0,3.6,5.78,5.77,28,1.96,2.43,1.54,1.50
multispicata,mg41148,Prance_10175,18,7.0,4.0,10.0,9.0,5.0,59.0,5.9,8.45,8.63,24,2.46,1.89,1.5,1.21
multispicata,ny03785218,Monteagudo_5869,na,11.5,4.2,7.5,11.5,6.0,69.0,4.9,4.96,5.48,24,2.88,2.26,1.69,2.12
multispicata,ny1653431,Penneys_1867,7,15.0,6.0,9.5,9.5,3.5,51.0,5.1,5.17,5.38,24,2.13,1.88,0.94,1.74
